group	colour	key	showSelected2	x
1	#000000	sous-entraînement	sous-entraînement	1
1	#000000	sous-entraînement	sous-entraînement	2
1	#000000	sous-entraînement	sous-entraînement	3
1	#000000	sous-entraînement	sous-entraînement	4
1	#000000	sous-entraînement	sous-entraînement	5
1	#000000	sous-entraînement	sous-entraînement	6
1	#000000	sous-entraînement	sous-entraînement	7
1	#000000	sous-entraînement	sous-entraînement	8
1	#000000	sous-entraînement	sous-entraînement	9
1	#000000	sous-entraînement	sous-entraînement	10
1	#000000	sous-entraînement	sous-entraînement	11
1	#000000	sous-entraînement	sous-entraînement	12
1	#000000	sous-entraînement	sous-entraînement	13
1	#000000	sous-entraînement	sous-entraînement	14
1	#000000	sous-entraînement	sous-entraînement	15
1	#000000	sous-entraînement	sous-entraînement	16
1	#000000	sous-entraînement	sous-entraînement	17
1	#000000	sous-entraînement	sous-entraînement	18
1	#000000	sous-entraînement	sous-entraînement	19
1	#000000	sous-entraînement	sous-entraînement	20
1	#000000	sous-entraînement	sous-entraînement	21
1	#000000	sous-entraînement	sous-entraînement	22
1	#000000	sous-entraînement	sous-entraînement	23
1	#000000	sous-entraînement	sous-entraînement	24
1	#000000	sous-entraînement	sous-entraînement	25
1	#000000	sous-entraînement	sous-entraînement	26
1	#000000	sous-entraînement	sous-entraînement	27
1	#000000	sous-entraînement	sous-entraînement	28
1	#000000	sous-entraînement	sous-entraînement	29
1	#000000	sous-entraînement	sous-entraînement	30
1	#000000	sous-entraînement	sous-entraînement	31
1	#000000	sous-entraînement	sous-entraînement	32
1	#000000	sous-entraînement	sous-entraînement	33
1	#000000	sous-entraînement	sous-entraînement	34
1	#000000	sous-entraînement	sous-entraînement	35
1	#000000	sous-entraînement	sous-entraînement	36
1	#000000	sous-entraînement	sous-entraînement	37
1	#000000	sous-entraînement	sous-entraînement	38
1	#000000	sous-entraînement	sous-entraînement	39
1	#000000	sous-entraînement	sous-entraînement	40
2	#00BFFF	validation	validation	1
2	#00BFFF	validation	validation	2
2	#00BFFF	validation	validation	3
2	#00BFFF	validation	validation	4
2	#00BFFF	validation	validation	5
2	#00BFFF	validation	validation	6
2	#00BFFF	validation	validation	7
2	#00BFFF	validation	validation	8
2	#00BFFF	validation	validation	9
2	#00BFFF	validation	validation	10
2	#00BFFF	validation	validation	11
2	#00BFFF	validation	validation	12
2	#00BFFF	validation	validation	13
2	#00BFFF	validation	validation	14
2	#00BFFF	validation	validation	15
2	#00BFFF	validation	validation	16
2	#00BFFF	validation	validation	17
2	#00BFFF	validation	validation	18
2	#00BFFF	validation	validation	19
2	#00BFFF	validation	validation	20
2	#00BFFF	validation	validation	21
2	#00BFFF	validation	validation	22
2	#00BFFF	validation	validation	23
2	#00BFFF	validation	validation	24
2	#00BFFF	validation	validation	25
2	#00BFFF	validation	validation	26
2	#00BFFF	validation	validation	27
2	#00BFFF	validation	validation	28
2	#00BFFF	validation	validation	29
2	#00BFFF	validation	validation	30
2	#00BFFF	validation	validation	31
2	#00BFFF	validation	validation	32
2	#00BFFF	validation	validation	33
2	#00BFFF	validation	validation	34
2	#00BFFF	validation	validation	35
2	#00BFFF	validation	validation	36
2	#00BFFF	validation	validation	37
2	#00BFFF	validation	validation	38
2	#00BFFF	validation	validation	39
2	#00BFFF	validation	validation	40
