colour	y	x	key	showSelected1	showSelected2
#00BFFF	0.24627196598431	32	validation	constante.1	validation
#00BFFF	0.24724819252015	18	validation	constante.2	validation
#00BFFF	0.190129091652702	18	validation	constante.3	validation
#00BFFF	0.205503364954481	40	validation	constante.4	validation
#00BFFF	0.194837620643164	40	validation	constante.5	validation
#00BFFF	0.0419955768422646	4	validation	linéaire.1	validation
#00BFFF	0.0502017680887081	3	validation	linéaire.2	validation
#00BFFF	0.0522520888071984	3	validation	linéaire.3	validation
#00BFFF	0.054076559911572	3	validation	linéaire.4	validation
#00BFFF	0.0540810938144474	4	validation	linéaire.5	validation
#00BFFF	0.0952897468882599	2	validation	quadratique.1	validation
#00BFFF	0.108166113010912	2	validation	quadratique.2	validation
#00BFFF	0.104128430711377	2	validation	quadratique.3	validation
#00BFFF	0.0962596810134897	3	validation	quadratique.4	validation
#00BFFF	0.0896901165372105	3	validation	quadratique.5	validation
#00BFFF	0.048150149122056	2	validation	cubique.1	validation
#00BFFF	0.0566670588405766	3	validation	cubique.2	validation
#00BFFF	0.0750265495785283	2	validation	cubique.3	validation
#00BFFF	0.0681826567975848	1	validation	cubique.4	validation
#00BFFF	0.0706003721132632	1	validation	cubique.5	validation
